value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
12-oxophytodienoic acid metabolites,4,4,0,100.0,0.0009010937024813867,0.0009323444266781034,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
2-arylbenzofurans,81,81,0,100.0,0.018247147475248082,0.018879974640231594,
2-pyrone derivatives,530,530,0,100.0,0.11939491557878375,0.12353563653484871,
3-Decalinoyltetramic acids,34,34,0,100.0,0.007659296471091788,0.00792492762676388,
3-Spirotetramic acids,13,13,0,100.0,0.002928554533064507,0.0030301193867038364,LOW_TOTAL_SUPPORT
3-oligoenoyltetramic acids,6,6,0,100.0,0.0013516405537220802,0.001398516640017155,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
4-pyrone derivatives,173,173,0,100.0,0.038972302632319974,0.04032389645382797,
Abeoabietane diterpenoids,152,152,0,100.0,0.0342415606942927,0.03542908821376793,
Abeolupane triterpenoids,1,1,0,100.0,0.00022527342562034668,0.00023308610666952586,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Abeotaxane diterpenoids,1,1,0,100.0,0.00022527342562034668,0.00023308610666952586,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Abietane diterpenoids,885,876,9,98.98305084745763,0.19936698167400685,0.20418342944250467,
Acetate-derived alkaloids,56,0,56,0.0,0.012615311834739414,0.0,NO_TARGET_POSITIVES
Acetogenins,116,116,0,100.0,0.02613171737196022,0.027037988373665,
Acorane sesquiterpenoids,9,8,1,88.88888888888889,0.00202746083058312,0.0018646888533562069,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Acridone alkaloids,2151,2051,100,95.35099953509996,0.4845631385093657,0.4780596047791975,
Actinomycins,27,27,0,100.0,0.006082382491749361,0.006293324880077198,LOW_TOTAL_SUPPORT
Acyclic guanidine alkaloids,5,0,5,0.0,0.0011263671281017335,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Acyclic monoterpenoids,1346,799,547,59.36106983655275,0.30321803088498667,0.18623579922895117,
Acyclic triterpenoids,89,8,81,8.98876404494382,0.020049334880210854,0.0018646888533562069,LOW_TARGET_SUPPORT
Acyl phloroglucinols,399,399,0,100.0,0.08988409682251833,0.09300135656114081,
Aeruginosins,1,1,0,100.0,0.00022527342562034668,0.00023308610666952586,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Aflatoxins,88,88,0,100.0,0.01982406145459051,0.020511577386918275,
Africanane sesquiterpenoids,2,0,2,0.0,0.00045054685124069335,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Agarofuran sesquiterpenoids,192,192,0,100.0,0.04325249771910657,0.04475253248054896,
Ahp-containing cyclodepsipeptides,20,20,0,100.0,0.004505468512406934,0.0046617221333905175,LOW_TOTAL_SUPPORT
Allohimachalane sesquiterpenoids,1,1,0,100.0,0.00022527342562034668,0.00023308610666952586,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Amarylidaceae alkaloids,1224,1190,34,97.22222222222221,0.27573467295930437,0.27737246693673573,
Amino cyclitols,354,354,0,100.0,0.07974679266960273,0.08251248176101215,
Amino fatty acids,88,88,0,100.0,0.01982406145459051,0.020511577386918275,
Aminoacids,12822,12499,323,97.4808922165029,2.8884558633040855,2.9133432472624037,
Aminoglycosides,183,183,0,100.0,0.04122503688852344,0.04265475752052324,
Aminosugars,840,840,0,100.0,0.18922967752109124,0.19579232960240173,
Amphilectane diterpenoids,2,2,0,100.0,0.00045054685124069335,0.0004661722133390517,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Anabaenopeptins,29,29,0,100.0,0.006532929342990055,0.00675949709341625,LOW_TOTAL_SUPPORT
Androstane steroids,1638,1634,4,99.75579975579976,0.3689978711661279,0.3808626982980053,
Angucyclines,196,196,0,100.0,0.04415359142158796,0.04568487690722707,
Ansa macrolides,2040,2040,0,100.0,0.45955778826550725,0.47549565760583273,
Ansa peptide alkaloids,3,3,0,100.0,0.0006758202768610401,0.0006992583200085775,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Anthocyanidins,1384,1384,0,100.0,0.3117784210585598,0.3225911716306238,
Anthracyclines,250,250,0,100.0,0.05631835640508667,0.05827152666738147,
Anthranillic acid derivatives,1259,1258,1,99.92057188244638,0.2836192428560165,0.29322232219026356,
Anthraquinones and anthrones,1985,1899,86,95.66750629722922,0.44716774985638824,0.4426305165654296,
Antimycins,25,25,0,100.0,0.005631835640508668,0.005827152666738147,LOW_TOTAL_SUPPORT
Aphidicolane diterpenoids,9,9,0,100.0,0.00202746083058312,0.0020977749600257327,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Aplysiatoxins,7,7,0,100.0,0.0015769139793424267,0.0016316027466866808,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
"Apocarotenoids (C30, Ψ-Ψ)",2,2,0,100.0,0.00045054685124069335,0.0004661722133390517,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Apocarotenoids (β-),208,208,0,100.0,0.04685687252903211,0.04848191018726138,
Apocarotenoids(ε-),214,214,0,100.0,0.048208513082754194,0.04988042682727853,
Aporphine alkaloids,1122,1119,3,99.73262032085562,0.252756783546029,0.2608233533631994,
Apotirucallane triterpenoids,1,1,0,100.0,0.00022527342562034668,0.00023308610666952586,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Aristolane sesquiterpenoids,5,5,0,100.0,0.0011263671281017335,0.0011654305333476294,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Aromadendrane sesquiterpenoids,82,82,0,100.0,0.01847242090086843,0.019113060746901122,
Aromatic polyketides with side chains,9,9,0,100.0,0.00202746083058312,0.0020977749600257327,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Arteminisin,259,259,0,100.0,0.0583458172356698,0.06036930162740719,
Arylnaphthalene and aryltetralin lignans,1137,1137,0,100.0,0.2561358849303342,0.2650189032832509,
Ascarosides,25,25,0,100.0,0.005631835640508668,0.005827152666738147,LOW_TOTAL_SUPPORT
Ascomycins and Rapamycins,259,259,0,100.0,0.0583458172356698,0.06036930162740719,
Aspidosperma type,1449,1444,5,99.65493443754313,0.3264211937238824,0.33657633803079534,
Aspidosperma-Iboga hybrid type (Vinca alkaloids),643,643,0,100.0,0.14485081267388294,0.14987436658850511,
Asteriscane sesquiterpenoids,12,12,0,100.0,0.0027032811074441604,0.00279703328003431,LOW_TOTAL_SUPPORT
Atisane diterpenoids,9,9,0,100.0,0.00202746083058312,0.0020977749600257327,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
Aurones,766,766,0,100.0,0.17255944402518555,0.1785439577088568,
Avermectins,286,286,0,100.0,0.06442819972741916,0.06666262650748439,
