value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
Alkylresorcinols,6,0,6,0.0,0.0013516405537220802,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Amino acid glycosides,432,0,432,0.0,0.09731811986798977,0.0,NO_TARGET_POSITIVES
Aminosugars and aminoglycosides,1023,0,1023,0.0,0.23045471440961465,0.0,NO_TARGET_POSITIVES
Anthranilic acid alkaloids,18340,2783,15557,15.174482006543075,4.131514625877158,6.889466518133433,
Apocarotenoids,581,0,581,0.0,0.13088386028542143,0.0,NO_TARGET_POSITIVES
Aromatic polyketides,2200,8,2192,0.36363636363636365,0.4956015363647627,0.019804431241490283,LOW_TARGET_SUPPORT
Carotenoids (C40),838,0,838,0.0,0.18877913066985053,0.0,NO_TARGET_POSITIVES
Carotenoids (C50),2,0,2,0.0,0.00045054685124069335,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Chromanes,3063,166,2897,5.419523343127652,0.6900125026751219,0.41094194826092334,
Coumarins,14023,277,13746,1.9753262497325823,3.159009247474122,0.6857284317366011,
Cyclic polyketides,1750,57,1693,3.257142857142857,0.39422849483560674,0.14110657259561826,
Diarylheptanoids,955,0,955,0.0,0.2151361214674311,0.0,NO_TARGET_POSITIVES
Diazotetronic acids and derivatives,45,0,45,0.0,0.010137304152915602,0.0,NO_TARGET_POSITIVES
Diphenyl ethers (DPEs),141,2,139,1.4184397163120568,0.03176355301246889,0.004951107810372571,LOW_TARGET_SUPPORT
Diterpenoids,6712,1,6711,0.014898688915375446,1.512035232763767,0.0024755539051862854,LOW_TARGET_SUPPORT
Docosanoids,36,0,36,0.0,0.00810984332233248,0.0,NO_TARGET_POSITIVES
Eicosanoids,647,55,592,8.500772797527048,0.14575190637636432,0.1361554647852457,
Fatty Acids and Conjugates,7686,0,7686,0.0,1.7314515493179847,0.0,NO_TARGET_POSITIVES
Fatty acyl glycosides,357,0,357,0.0,0.08042261294646377,0.0,NO_TARGET_POSITIVES
Fatty acyls,1885,1,1884,0.05305039787798408,0.42464040729435354,0.0024755539051862854,LOW_TARGET_SUPPORT
Fatty amides,2688,0,2688,0.0,0.6055349680674919,0.0,NO_TARGET_POSITIVES
Fatty esters,1698,0,1698,0.0,0.3825142767033487,0.0,NO_TARGET_POSITIVES
Flavonoids,37643,450,37193,1.1954413835241613,8.479967560626712,1.1139992573338284,
Fluorenes,16,0,16,0.0,0.003604374809925547,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Glycerolipids,693,0,693,0.0,0.15611448395490027,0.0,NO_TARGET_POSITIVES
Glycerophospholipids,9759,2,9757,0.020493903063838508,2.1984433606289633,0.004951107810372571,LOW_TARGET_SUPPORT
Guanidine alkaloids,13,0,13,0.0,0.002928554533064507,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Histidine alkaloids,5249,883,4366,16.822251857496667,1.1824602110812,2.18591409827949,
Isoflavonoids,8951,161,8790,1.79868171154061,2.016422432727723,0.39856417873499195,
Lignans,6607,43,6564,0.6508248827001665,1.4883815230736306,0.10644881792301027,
Linear polyketides,979,0,979,0.0,0.22054268368231938,0.0,NO_TARGET_POSITIVES
Lysine alkaloids,26505,2931,23574,11.058290888511602,5.97087214606729,7.255848496101002,
Macrolides,4156,39,4117,0.9384023099133783,0.9362363568781609,0.09654660230226512,
Meroterpenoids,1811,17,1794,0.9387078961899503,0.4079701737984479,0.04208441638816685,
Miscellaneous alkaloids,5,0,5,0.0,0.0011263671281017335,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Miscellaneous polyketides,4,0,4,0.0,0.0009010937024813867,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Mitomycin derivatives,40,0,40,0.0,0.009010937024813868,0.0,NO_TARGET_POSITIVES
Monoterpenoids,8330,153,8177,1.8367346938775513,1.8765276354174882,0.37875974749350166,
Mycosporine derivatives,11,0,11,0.0,0.002478007681823814,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Naphthalenes,1536,2,1534,0.13020833333333331,0.34601998175285253,0.004951107810372571,LOW_TARGET_SUPPORT
Nicotinic acid alkaloids,62604,13995,48609,22.35480161012076,14.103017537536184,34.64537690308207,
Nucleosides,4942,563,4379,11.392148927559692,1.1133012694157534,1.3937368486198787,
Octadecanoids,386,0,386,0.0,0.08695554228945382,0.0,NO_TARGET_POSITIVES
Oligopeptides,3227,40,3187,1.2395413696932134,0.7269573444768588,0.09902215620745142,
Ornithine alkaloids,11453,939,10514,8.198725224831922,2.580056543629831,2.324545116969922,
Peptide alkaloids,4875,330,4545,6.769230769230769,1.0982079498991901,0.8169327887114741,
Phenanthrenoids,450,6,444,1.3333333333333335,0.10137304152915601,0.014853323431117713,LOW_TARGET_SUPPORT
Phenolic acids (C6-C1),8105,385,7720,4.750154225786551,1.82584111465291,0.9530882534967198,
Phenylethanoids (C6-C2),966,0,966,0.0,0.21761412914925493,0.0,NO_TARGET_POSITIVES
Phenylpropanoids (C6-C3),7178,23,7155,0.320423516299805,1.6170126491028485,0.05693773981928457,
Phloroglucinols,469,0,469,0.0,0.10565323661594259,0.0,NO_TARGET_POSITIVES
Polycyclic aromatic polyketides,2952,21,2931,0.7113821138211381,0.6650071524312634,0.051986632008911994,
Polyethers,595,0,595,0.0,0.13403768824410628,0.0,NO_TARGET_POSITIVES
Polyols,767,0,767,0.0,0.1727847174508059,0.0,NO_TARGET_POSITIVES
Polyprenols,45,0,45,0.0,0.010137304152915602,0.0,NO_TARGET_POSITIVES
Proline alkaloids,254,28,226,11.023622047244094,0.05721945010756806,0.06931550934521599,
Pseudoalkaloids,19762,1701,18061,8.607428397935433,4.451853437109291,4.210917192721872,
Saccharides,1741,0,1741,0.0,0.39220103400502365,0.0,NO_TARGET_POSITIVES
Serine alkaloids,649,42,607,6.471494607087827,0.146202453227605,0.10397326401782399,
Sesquiterpenoids,6965,20,6945,0.2871500358937545,1.5690294094457147,0.04951107810372571,
Sesterterpenoids,18,0,18,0.0,0.00405492166116624,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Small peptides,23205,1472,21733,6.34346046110752,5.227469841520145,3.6440153484342126,
Sphingolipids,1919,0,1919,0.0,0.4322997037654453,0.0,NO_TARGET_POSITIVES
Steroids,24140,1330,22810,5.5095277547638775,5.438100494475169,3.2924866938977595,
Stilbenoids,1556,0,1556,0.0,0.35052545026525944,0.0,NO_TARGET_POSITIVES
Styrylpyrones,300,0,300,0.0,0.06758202768610401,0.0,NO_TARGET_POSITIVES
Terphenyls,232,35,197,15.086206896551724,0.05226343474392044,0.08664438668151998,
Tetramate alkaloids,985,74,911,7.5126903553299496,0.2218943242360415,0.18319098898378514,
Triterpenoids,16701,0,16701,0.0,3.7622914812854105,0.0,NO_TARGET_POSITIVES
Tropolones,7,0,7,0.0,0.0015769139793424267,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
Tryptophan alkaloids,42993,9140,33853,21.259274765659526,9.685180387695565,22.62656269340265,
Tyrosine alkaloids,22659,2431,20228,10.728628800917958,5.104470551131436,6.01807154350786,
Xanthones,1299,0,1299,0.0,0.29263017988083034,0.0,NO_TARGET_POSITIVES
β-lactams,1951,45,1906,2.3065094823167605,0.4395084533852964,0.11139992573338284,
γ-lactam-β-lactones,8,0,8,0.0,0.0018021874049627734,0.0,LOW_TOTAL_SUPPORT|NO_TARGET_POSITIVES
TOTAL_RECORDS,443905,40395,403510,9.099920027933905,100.0,100.0,
TOTAL_ASSIGNMENTS,453774,40651,413123,8.958424237616082,102.2232234374472,100.63374179972769,
